date,description,amount,transaction_type,check_number,lender_matches,is_lender_transfer,is_lender_payment
2025-10-02,RETURNED ITEM FEE NOT CHARGED,36.00,withdrawal,,,false,false
2025-10-03,Check #3736,622.00,check,3736,,false,false
2025-10-03,Check #3737,632.00,check,3737,,false,false
2025-10-03,Check #3740,108.00,check,3740,,false,false
2025-10-03,Check #3741,181.83,check,3741,,false,false
2025-10-03,Check #3742,858.00,check,3742,,false,false
2025-10-03,Check #3743,2000.00,check,3743,,false,false
2025-10-03,MOBILE DEPOSIT,4043.57,deposit,,,false,false
2025-10-03,PAYABLES C THE HANOR CO ROA STAFFING LLC CUSTOMER ID 009753,4875.12,deposit,,,false,false
2025-10-03,EDI PYMNTS ATLANTIC CORP OF 0011ROA STAFFING LLC CUSTOMER ID 001487886363210,31095.96,deposit,,,false,false
2025-10-03,DEBIT CARD PURCHASE SPEEDWAY 47007 10-02 LOUISBURG NC 8149,57.61,withdrawal,,,false,false
2025-10-03,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92332CUSTOMER ID W135,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-03,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-03,ZELLE BUSINESS PAYMENT TO Madeline Guzman PAYMENT ID BBT339269388,1010.00,withdrawal,,,false,false
2025-10-06,Check #3704,303.00,check,3704,,false,false
2025-10-06,Check #3716,585.00,check,3716,,false,false
2025-10-06,MOBILE DEPOSIT,4096.35,deposit,,,false,false
2025-10-06,MOBILE DEPOSIT,7188.65,deposit,,,false,false
2025-10-06,DEBIT CARD PURCHASE USCELL 5258 10-04 HENDERSON NC 8149,356.89,withdrawal,,,false,false
2025-10-06,ZELLE BUSINESS PAYMENT TO Wilio PAYMENT ID BBT339883738,100.00,withdrawal,,,false,false
2025-10-06,DEBIT CARD PURCHASE SPEEDWAY 47007 10-05 LOUISBURG NC 8149,59.67,withdrawal,,,false,false
2025-10-06,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,79.99,withdrawal,,United,false,true
2025-10-06,INTERNET PAYMENT PURCHASE American Bank Ch,135.82,withdrawal,,,false,false
2025-10-06,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92379CUSTOMER ID W136,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-06,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-06,ACH CORP DEBIT ACHPAYMENT ASPIREFUNDING ROA STAFFING LLC 92400CUSTOMER ID W137,2000.00,withdrawal,,Aspire Funding,false,true
2025-10-07,Check #3726,537.37,check,3726,,false,false
2025-10-07,Check #3728,680.00,check,3728,,false,false
2025-10-07,DEPOSIT INTUIT 10370333 ROA STAFFING CUSTOMER ID 524771999465810,4048.60,deposit,,,false,false
2025-10-07,EDI PYMNTS ATLANTIC CORP OF 0009ROA STAFFING LLC CUSTOMER ID 001488293433210,13969.44,deposit,,,false,false
2025-10-07,ACH CORP DEBIT SUPERFAST Top Choice Finan ROA STAFFING LLCCUSTOMER ID,1764.71,withdrawal,,TOP CHOICE FINANCIAL LLC,false,true
2025-10-07,ACH CORP DEBIT TRAN FEE INTUIT 21178553 ROA STAFFINGCUSTOMER ID 524771999465810,40.49,withdrawal,,,false,false
2025-10-07,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92426CUSTOMER ID W138,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-07,AGNT PYMNT Goodleap 8537 Moises Roa Ortiz,502.26,withdrawal,,,false,false
2025-10-07,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-08,Check #3649,673.00,check,3649,,false,false
2025-10-08,7864084809 UFCE/ 8449090040 ROA STAFFING LL CUSTOMER ID,8378.70,deposit,,United,true,false
2025-10-08,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92481CUSTOMER ID W139,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-08,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-08,ACH CORP DEBIT PAYMENTS BYZFUNDER ROA STAFFING LLCCUSTOMER ID 000000000000045,2115.00,withdrawal,,Byzfunder,false,true
2025-10-08,BUS ONLINE DOMESTIC WIRE WIRE REF# 20251008-00005283,39832.51,withdrawal,,,false,false
2025-10-09,Check #3647,545.00,check,3647,,false,false
2025-10-09,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92523CUSTOMER ID W140,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-09,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-10,Check #3751,467.00,check,3751,,false,false
2025-10-10,Check #3708,225.00,check,3708,,false,false
2025-10-10,Check #3744,622.00,check,3744,,false,false
2025-10-10,MOBILE DEPOSIT,4076.28,deposit,,,false,false
2025-10-10,PAYABLES C THE HANOR CO ROA STAFFING LLC CUSTOMER ID 009753,5617.31,deposit,,,false,false
2025-10-10,EDI PYMNTS ATLANTIC CORP OF 0009ROA STAFFING LLC CUSTOMER ID 001488777093210,5661.80,deposit,,,false,false
2025-10-10,MOBILE DEPOSIT,7348.25,deposit,,,false,false
2025-10-10,DEBIT CARD PURCHASE LOWES #00738* 10-09 HENDERSON NC 8149,96.01,withdrawal,,,false,false
2025-10-10,DEBIT CARD PURCHASE TONEY ACE 10-09 LOUISBURG NC 8149,21.33,withdrawal,,,false,false
2025-10-10,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92575CUSTOMER ID W141,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-10,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-10,ZELLE BUSINESS PAYMENT TO Madeline Guzman PAYMENT ID BBT340875621,1001.00,withdrawal,,,false,false
2025-10-14,Check #3648,673.00,check,3648,,false,false
2025-10-14,Check #3752,729.28,check,3752,,false,false
2025-10-14,Check #3712,126.72,check,3712,,false,false
2025-10-14,DEPOSIT INTUIT 30788943 ROA STAFFING CUSTOMER ID 524771999465810,1828.10,deposit,,,false,false
2025-10-14,MOBILE DEPOSIT,5021.84,deposit,,,false,false
2025-10-14,DEBIT CARD PURCHASE SPEEDWAY 47007 10-10 LOUISBURG NC 8149,66.67,withdrawal,,,false,false
2025-10-14,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92631CUSTOMER ID W142,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-14,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-14,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-14,ACH CORP DEBIT ACHPAYMENT ASPIREFUNDING ROA STAFFING LLC 92651CUSTOMER ID W143,2000.00,withdrawal,,Aspire Funding,false,true
2025-10-14,ACH CORP DEBIT TRAN FEE INTUIT 41187503 ROA STAFFINGCUSTOMER ID 524771999465810,18.28,withdrawal,,,false,false
2025-10-15,Check #3738,440.00,check,3738,,false,false
2025-10-15,7864084809 UFCE/ 8449090040 ROA STAFFING LL CUSTOMER ID,8078.70,deposit,,United,true,false
2025-10-15,DEBIT CARD PURCHASE SAMS CLUB #4946 10-14 ROCKY MOUNT NC 8149,164.36,withdrawal,,,false,false
2025-10-15,DEBIT CARD PURCHASE LOWES #00547* 10-14 ROCKY MOUNT NC 8149,15.99,withdrawal,,,false,false
2025-10-15,DEBIT CARD PURCHASE CIRCLE K 01513 10-14 ROCKY MOUNT NC 8149,45.20,withdrawal,,,false,false
2025-10-15,E-CHECK LH DickensandSon 5066 Moises Ortiz,641.22,withdrawal,,,false,false
2025-10-15,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 39164CUSTOMER ID W146,89.00,withdrawal,,Torro Business Funding,false,true
2025-10-15,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92665CUSTOMER ID W144,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-15,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92710CUSTOMER ID W145,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-15,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-15,ACH CORP DEBIT PAYMENTS BYZFUNDER ROA STAFFING LLCCUSTOMER ID 000000000000041,2115.00,withdrawal,,Byzfunder,false,true
2025-10-15,ZELLE BUSINESS PAYMENT TO Wilio PAYMENT ID BBT341965095,200.00,withdrawal,,,false,false
2025-10-15,BUS ONLINE DOMESTIC WIRE WIRE REF# 20251015-00009306,29215.57,withdrawal,,,false,false
2025-10-16,Check #3746,99.40,check,3746,,false,false
2025-10-16,Check #3767,176.00,check,3767,,false,false
2025-10-16,Check #3749,84.66,check,3749,,false,false
2025-10-16,Check #3750,84.00,check,3750,,false,false
2025-10-16,Check #3745,198.00,check,3745,,false,false
2025-10-16,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92751CUSTOMER ID W147,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-16,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-17,Check #3768,43.52,check,3768,,false,false
2025-10-17,Check #3769,200.00,check,3769,,false,false
2025-10-17,Check #3753,555.00,check,3753,,false,false
2025-10-17,Check #3755,635.00,check,3755,,false,false
2025-10-17,Check #3760,512.30,check,3760,,false,false
2025-10-17,Check #3766,482.84,check,3766,,false,false
2025-10-17,PAYABLES C THE HANOR CO ROA STAFFING LLC CUSTOMER ID 009753,5178.99,deposit,,,false,false
2025-10-17,EDI PYMNTS ATLANTIC CORP OF 0010ROA STAFFING LLC CUSTOMER ID 001489861424410,5478.31,deposit,,,false,false
2025-10-17,DEBIT CARD PURCHASE LOWES #00738* 10-16 HENDERSON NC 8149,23.02,withdrawal,,,false,false
2025-10-17,ACH CORP DEBIT SUPERFAST Top Choice Finan ROA STAFFING LLCCUSTOMER ID,1764.71,withdrawal,,TOP CHOICE FINANCIAL LLC,false,true
2025-10-17,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-20,Check #3770,300.00,check,3770,,false,false
2025-10-20,Check #3756,756.00,check,3756,,false,false
2025-10-20,Check #3762,542.79,check,3762,,false,false
2025-10-20,Check #3764,516.30,check,3764,,false,false
2025-10-20,Check #3765,516.30,check,3765,,false,false
2025-10-20,MOBILE DEPOSIT,3756.62,deposit,,,false,false
2025-10-20,MOBILE DEPOSIT,4036.63,deposit,,,false,false
2025-10-20,MOBILE DEPOSIT,8027.05,deposit,,,false,false
2025-10-20,2025-10-20 LIVE COMFORTABLY ROA STAFFING LLC CUSTOMER ID,15426.50,deposit,,,false,false
2025-10-20,DEBIT CARD RECURRING PYMT ALLSTATE877-927-72 10-17 SAN FRANCISCO CA 3918,21.34,withdrawal,,,false,false
2025-10-20,DEBIT CARD PURCHASE SPEEDWAY 47007 10-18 LOUISBURG NC 8149,57.66,withdrawal,,,false,false
2025-10-20,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-20,ACH CORP DEBIT ACHPAYMENT ASPIREFUNDING ROA STAFFING LLC 92885CUSTOMER ID W148,2000.00,withdrawal,,Aspire Funding,false,true
2025-10-21,Check #3748,360.00,check,3748,,false,false
2025-10-21,Check #3758,572.58,check,3758,,false,false
2025-10-21,Check #3759,600.00,check,3759,,false,false
2025-10-21,Check #3761,537.37,check,3761,,false,false
2025-10-21,Check #3763,506.30,check,3763,,false,false
2025-10-21,DEPOSIT INTUIT 50356593 ROA STAFFING CUSTOMER ID 524771999465810,918.00,deposit,,,false,false
2025-10-21,EDI PYMNTS ATLANTIC CORP OF 0011ROA STAFFING LLC CUSTOMER ID 001490251270110,20958.65,deposit,,,false,false
2025-10-21,DEBIT CARD PURCHASE LOWES #00738* 10-20 HENDERSON NC 8149,129.25,withdrawal,,,false,false
2025-10-21,ACH CORP DEBIT SUPERFAST Top Choice Finan ROA STAFFING LLCCUSTOMER ID,1764.71,withdrawal,,TOP CHOICE FINANCIAL LLC,false,true
2025-10-21,ACH CORP DEBIT TRAN FEE INTUIT 60306303 ROA STAFFINGCUSTOMER ID 524771999465810,9.18,withdrawal,,,false,false
2025-10-21,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-21,SERVICE CHARGES - PRIOR PERIOD,104.50,withdrawal,,,false,false
2025-10-22,Check #3771,600.00,check,3771,,false,false
2025-10-22,DEPOSIT INTUIT 52996343 ROA STAFFING CUSTOMER ID 524771999465810,932.89,deposit,,,false,false
2025-10-22,7864084809 UFCE/ 8449090040 ROA STAFFING LL CUSTOMER ID,3784.70,deposit,,United,true,false
2025-10-22,ACH CORP DEBIT TRAN FEE INTUIT 62911983 ROA STAFFINGCUSTOMER ID 524771999465810,9.33,withdrawal,,,false,false
2025-10-22,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-22,ACH CORP DEBIT PAYMENTS BYZFUNDER ROA STAFFING LLCCUSTOMER ID 000000000000036,2115.00,withdrawal,,Byzfunder,false,true
2025-10-22,BUS ONLINE DOMESTIC WIRE WIRE REF# 20251022-00014626,36758.33,withdrawal,,,false,false
2025-10-23,Check #3754,756.00,check,3754,,false,false
2025-10-23,DEBIT CARD PURCHASE AMAZON MKTPL*NU7SI 10-22 Amzn.com/bill WA 3918,191.98,withdrawal,,,false,false
2025-10-23,DEBIT CARD PURCHASE SPEEDWAY 47007 10-22 LOUISBURG NC 8149,66.32,withdrawal,,,false,false
2025-10-23,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-24,MOBILE DEPOSIT,3810.31,deposit,,,false,false
2025-10-24,PAYABLES C THE HANOR CO ROA STAFFING LLC CUSTOMER ID 009753,4799.46,deposit,,,false,false
2025-10-24,MOBILE DEPOSIT,7777.18,deposit,,,false,false
2025-10-24,RECURRING INTERNET PAYMENT Ext Trnsfr JPMorgan Chase 26320631311,610.00,withdrawal,,,false,false
2025-10-24,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-24,ZELLE BUSINESS PAYMENT TO Moises Ortiz PAYMENT ID BBT344205641,600.00,withdrawal,,,false,false
2025-10-24,ZELLE BUSINESS PAYMENT TO Moises Ortiz PAYMENT ID BBT344205762,600.00,withdrawal,,,false,false
2025-10-27,Check #3773,402.00,check,3773,,false,false
2025-10-27,Check #3774,88.00,check,3774,,false,false
2025-10-27,Check #3775,300.00,check,3775,,false,false
2025-10-27,MOBILE DEPOSIT,3352.45,deposit,,,false,false
2025-10-27,DEBIT CARD RECURRING PYMT INTUIT *QBooks Onl 10-24 CL.INTUIT.COM CA 3918,38.00,withdrawal,,,false,false
2025-10-27,DEBIT CARD PURCHASE SPEEDWAY 47007 10-25 LOUISBURG NC 8149,53.26,withdrawal,,,false,false
2025-10-27,DEBIT CARD RECURRING PYMT BRIGHTSPEED 10-26 833-692-7773 NC 3918,75.00,withdrawal,,,false,false
2025-10-27,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-27,ACH CORP DEBIT ACHPAYMENT ASPIREFUNDING ROA STAFFING LLC 93250CUSTOMER ID W149,2000.00,withdrawal,,Aspire Funding,false,true
2025-10-28,DEPOSIT INTUIT 68258153 ROA STAFFING CUSTOMER ID 524771999465810,1763.11,deposit,,,false,false
2025-10-28,ACH CORP DEBIT SUPERFAST Top Choice Finan ROA STAFFING LLCCUSTOMER ID,1764.71,withdrawal,,TOP CHOICE FINANCIAL LLC,false,true
2025-10-28,ACH CORP DEBIT TRAN FEE INTUIT 77830813 ROA STAFFINGCUSTOMER ID 524771999465810,35.90,withdrawal,,,false,false
2025-10-28,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-29,Check #3776,480.00,check,3776,,false,false
2025-10-29,7864084809 UFCE/ 8449090040 ROA STAFFING LL CUSTOMER ID,3764.70,deposit,,United,true,false
2025-10-29,DEBIT CARD RECURRING PYMT ALLSTATE *PAYME 10-28 800-255-7828 IL 3918,691.13,withdrawal,,,false,false
2025-10-29,DEBIT CARD PURCHASE TRACTOR SUPPLY #22 10-28 LOUISBURG NC 8149,89.17,withdrawal,,,false,false
2025-10-29,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-29,BUS ONLINE DOMESTIC WIRE WIRE REF# 20251029-00019725,21767.77,withdrawal,,,false,false
2025-10-30,Check #3788,158.00,check,3788,,false,false
2025-10-30,2025-10-30 LIVE COMFORTABLY ROA STAFFING LLC CUSTOMER ID,1200.47,deposit,,,false,false
2025-10-30,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-31,Check #3780,515.87,check,3780,,false,false
2025-10-31,Check #3781,566.66,check,3781,,false,false
2025-10-31,Check #3790,506.30,check,3790,,false,false
2025-10-31,Check #3793,506.30,check,3793,,false,false
2025-10-31,Check #3794,679.31,check,3794,,false,false
2025-10-31,Check #3797,516.30,check,3797,,false,false
2025-10-31,Check #3798,516.47,check,3798,,false,false
2025-10-31,Check #3802,600.00,check,3802,,false,false
2025-10-31,Check #3803,121.21,check,3803,,false,false
2025-10-31,MOBILE DEPOSIT,4437.80,deposit,,,false,false
2025-10-31,PAYABLES C THE HANOR CO ROA STAFFING LLC CUSTOMER ID 009753,4546.24,deposit,,,false,false
2025-10-31,DEBIT CARD RECURRING PYMT GOTHAM HAPymt2of4 10-30 866-783-8247 CT 8149,49.99,withdrawal,,,false,false
2025-10-31,DEBIT CARD PURCHASE NCDMV REG 081 LOUI 10-30 LOUISBURG NC 8149,157.61,withdrawal,,,false,false
2025-10-31,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
